Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms],
Trial005,P34,Coral,rl.avi,speaker 2,,Local,1,259346,12.5,0,111174,60286.4,127,1262.8,1059.2,1245.8,1393.7,316.2,2.0,1.0,4.0,1.0,32006.0,28.8,1.1,1.0,849.4,0.8,-,
Trial005,P35,CornflowerBlue,rl.avi,speaker 2,,Local,1,259346,12.5,0,111212,71892.6,136,1591.5,1345.7,1471.0,1559.0,157.9,1.0,0.0,5.0,1.0,32006.0,28.8,1.4,1.2,1134.8,1.0,-,
Trial006,P36,Crimson,rl.avi,speaker 2,,Local,1,259346,12.5,0,111146,64705.4,133,332.4,275.9,356.0,424.0,158.4,1.0,0.0,2.0,1.0,32006.0,28.8,0.3,0.2,246.4,0.2,-,
Trial005,P37,Cyan,rl.avi,speaker 2,,Local,1,259346,12.5,0,111115,45936.7,113,307.7,256.0,324.0,324.0,256.0,1.0,0.0,1.0,1.0,32006.0,28.8,0.3,0.2,256.0,0.2,-,
Trial006,P38,DarkBlue,rl.avi,speaker 2,,Local,1,259346,12.5,0,110970,45816.9,112,590.4,496.0,671.8,883.8,131.8,3.0,2.0,3.0,1.0,32006.0,28.8,0.5,0.4,496.0,0.4,-,
Trial005,P39,DarkCyan,rl.avi,speaker 2,,Local,1,259346,12.5,0,111010,42901.5,108,815.5,635.9,806.7,942.7,188.0,3.0,2.0,3.0,1.0,32006.0,28.8,0.7,0.6,635.9,0.6,-,
Trial006,P40,DarkGoldenrod,rl.avi,speaker 2,,Local,1,259346,12.5,0,111173,50187.4,116,1247.3,1136.0,1303.8,1491.6,260.1,3.0,2.0,3.0,1.0,32006.0,28.8,1.1,1.0,1136.0,1.0,-,
Trial005,P34,Coral,rl.avi,speaker 1,,Local,2,248043,12.0,0,111174,59146.6,126,2564.4,1747.5,2183.2,2365.9,627.9,3.0,2.0,6.0,1.0,32006.0,28.8,2.3,1.6,1584.0,1.4,-,
Trial005,P35,CornflowerBlue,rl.avi,speaker 1,,Local,2,248043,12.0,0,111212,42887.2,107,2664.7,2281.5,2666.4,3017.8,148.0,5.0,4.0,7.0,1.0,32006.0,28.8,2.4,2.1,2153.6,1.9,-,
Trial006,P36,Crimson,rl.avi,speaker 1,,Local,2,248043,12.0,0,111146,63213.6,131,957.4,927.9,971.9,1019.7,927.9,1.0,0.0,1.0,1.0,32006.0,28.8,0.9,0.8,927.9,0.8,-,
Trial005,P37,Cyan,rl.avi,speaker 1,,Local,2,248043,12.0,0,111115,45004.9,110,1847.3,1418.6,1881.2,2237.6,328.0,4.0,3.0,6.0,1.0,32006.0,28.8,1.7,1.3,1346.6,1.2,-,
Trial006,P38,DarkBlue,rl.avi,speaker 1,,Local,2,248043,12.0,0,110970,48636.4,114,1044.9,719.9,919.9,1043.8,95.9,2.0,1.0,3.0,1.0,32006.0,28.8,0.9,0.6,679.9,0.6,-,
Trial005,P39,DarkCyan,rl.avi,speaker 1,,Local,2,248043,12.0,0,111010,45133.2,111,2913.9,2683.7,3036.4,3436.5,208.0,6.0,5.0,9.0,1.0,32006.0,28.8,2.6,2.4,2556.9,2.3,-,
Trial006,P40,DarkGoldenrod,rl.avi,speaker 1,,Local,2,248043,12.0,0,111173,48959.8,115,1848.0,1779.6,1871.7,1995.7,875.8,2.0,1.0,2.0,1.0,32006.0,28.8,1.7,1.6,1779.6,1.6,-,
Trial005,P34,Coral,rl.avi,brown toy,,Local,3,126681,6.1,0,111174,3847.5,34,7042.1,6277.8,6630.0,7095.9,200.1,8.0,7.0,12.0,1.0,39216.0,35.3,6.3,5.6,6054.2,5.4,-,
Trial005,P35,CornflowerBlue,rl.avi,brown toy,,Local,3,126681,6.1,0,111212,18907.0,76,9041.8,8866.8,9039.5,9344.9,971.8,5.0,4.0,8.0,1.0,39216.0,35.3,8.1,8.0,8694.0,7.8,-,
Trial006,P36,Crimson,rl.avi,brown toy,,Local,3,126681,6.1,0,111146,27503.3,93,7811.9,7614.1,7694.8,7771.5,711.9,2.0,1.0,9.0,1.0,39216.0,35.3,7.0,6.9,7343.4,6.6,-,
Trial005,P37,Cyan,rl.avi,brown toy,,Local,3,126681,6.1,0,111115,3707.5,32,15570.1,3721.5,4059.4,4322.1,367.8,3.0,2.0,4.0,1.0,39216.0,35.3,14.0,3.3,3677.4,3.3,-,
Trial006,P38,DarkBlue,rl.avi,brown toy,,Local,3,126681,6.1,0,110970,9298.5,58,12040.3,11616.8,12071.1,12677.5,2271.6,8.0,7.0,14.0,1.0,39216.0,35.3,10.9,10.5,11309.4,10.2,-,
Trial005,P39,DarkCyan,rl.avi,brown toy,,Local,3,126681,6.1,0,111010,714.1,23,6817.5,6970.9,7312.8,7832.6,83.9,10.0,9.0,18.0,1.0,39216.0,35.3,6.1,6.3,6649.7,6.0,-,
Trial006,P40,DarkGoldenrod,rl.avi,brown toy,,Local,3,126681,6.1,0,111173,5083.1,40,9422.1,8885.8,9234.0,9738.0,1687.8,8.0,7.0,13.0,1.0,39216.0,35.3,8.5,8.0,8684.7,7.8,-,
Trial005,P34,Coral,rl.avi,green toy,,Local,4,93726,4.5,0,111174,3323.5,30,299.8,272.0,332.0,404.0,272.0,1.0,0.0,1.0,1.0,39216.0,35.3,0.3,0.2,272.0,0.2,-,
Trial005,P35,CornflowerBlue,rl.avi,green toy,,Local,4,93726,4.5,0,111212,9420.5,59,349.8,312.0,379.5,455.5,148.0,1.0,0.0,2.0,1.0,39216.0,35.3,0.3,0.3,264.0,0.2,-,
Trial006,P36,Crimson,rl.avi,green toy,,Local,4,93726,4.5,0,111146,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,39216.0,35.3,0.0,0.0,0.0,0.0,-,
Trial005,P37,Cyan,rl.avi,green toy,,Local,4,93726,4.5,0,111115,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,39216.0,35.3,0.0,0.0,0.0,0.0,-,
Trial006,P38,DarkBlue,rl.avi,green toy,,Local,4,93726,4.5,0,110970,8762.8,56,739.7,599.6,797.4,945.5,427.7,2.0,1.0,2.0,1.0,39216.0,35.3,0.7,0.5,599.6,0.5,-,
Trial005,P39,DarkCyan,rl.avi,green toy,,Local,4,93726,4.5,0,111010,8851.1,57,235.9,220.5,280.6,352.1,220.5,1.0,0.0,1.0,1.0,39216.0,35.3,0.2,0.2,220.5,0.2,-,
Trial006,P40,DarkGoldenrod,rl.avi,green toy,,Local,4,93726,4.5,0,111173,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,39216.0,35.3,0.0,0.0,0.0,0.0,-,
Trial005,P34,Coral,rl.avi,leg 1,,Local,5,39328,1.9,0,111174,6587.0,46,6497.9,5319.0,5869.4,6165.4,288.1,7.0,6.0,11.0,3.0,101893.0,91.7,5.8,4.8,5155.8,4.6,-,
Trial005,P35,CornflowerBlue,rl.avi,leg 1,,Local,5,39328,1.9,0,111212,8292.8,52,5395.6,4635.9,5362.5,5822.0,320.1,10.0,9.0,10.0,3.0,101893.0,91.6,4.9,4.2,4595.9,4.1,-,
Trial006,P36,Crimson,rl.avi,leg 1,,Local,5,39328,1.9,0,111146,6615.3,47,4790.8,3307.0,3716.2,4009.2,99.3,9.0,8.0,12.0,3.0,101893.0,91.7,4.3,3.0,2829.8,2.5,-,
Trial005,P37,Cyan,rl.avi,leg 1,,Local,5,39328,1.9,0,111115,4823.4,37,6581.2,5109.5,5715.0,6381.2,415.9,11.0,10.0,11.0,3.0,101893.0,91.7,5.9,4.6,5109.5,4.6,-,
Trial006,P38,DarkBlue,rl.avi,leg 1,,Local,5,39328,1.9,0,110970,17481.2,73,2931.1,2809.2,3152.7,3520.9,128.0,9.0,8.0,11.0,3.0,101893.0,91.8,2.6,2.5,2748.7,2.5,-,
Trial005,P39,DarkCyan,rl.avi,leg 1,,Local,5,39328,1.9,0,111010,17421.6,72,10677.7,7407.9,8185.0,8775.0,424.7,13.0,12.0,14.0,3.0,101893.0,91.8,9.6,6.7,7371.4,6.6,-,
Trial006,P40,DarkGoldenrod,rl.avi,leg 1,,Local,5,39328,1.9,0,111173,559.9,21,7165.4,6342.7,6633.5,6985.4,283.9,8.0,7.0,8.0,3.0,101893.0,91.7,6.4,5.7,6342.7,5.7,-,
Trial005,P34,Coral,rl.avi,leg 2,,Local,6,32105,1.5,0,111174,320.0,14,16071.3,16672.1,17351.9,18281.0,224.0,20.0,19.0,28.0,3.0,101893.0,91.7,14.5,15.0,16272.7,14.6,-,
Trial005,P35,CornflowerBlue,rl.avi,leg 2,,Local,6,32105,1.5,0,111212,4981.5,39,11953.6,12363.4,13410.8,14198.8,395.7,18.0,17.0,22.0,3.0,101893.0,91.6,10.7,11.1,12051.4,10.8,-,
Trial006,P36,Crimson,rl.avi,leg 2,,Local,6,32105,1.5,0,111146,4954.8,38,9990.9,9565.9,10165.9,10768.2,108.0,19.0,18.0,23.0,3.0,101893.0,91.7,9.0,8.6,9361.2,8.4,-,
Trial005,P37,Cyan,rl.avi,leg 2,,Local,6,32105,1.5,0,111115,5315.5,42,15103.5,25435.5,26277.8,27115.0,327.7,14.0,13.0,21.0,3.0,101893.0,91.7,13.6,22.9,25008.8,22.5,-,
Trial006,P38,DarkBlue,rl.avi,leg 2,,Local,6,32105,1.5,0,110970,6346.9,45,12499.1,12339.8,13262.9,14043.4,164.1,20.0,19.0,24.0,3.0,101893.0,91.8,11.3,11.1,12163.8,11.0,-,
Trial005,P39,DarkCyan,rl.avi,leg 2,,Local,6,32105,1.5,0,111010,5575.7,43,10977.4,13768.2,14439.9,15210.4,251.8,19.0,18.0,24.0,3.0,101893.0,91.8,9.9,12.4,13583.7,12.2,-,
Trial006,P40,DarkGoldenrod,rl.avi,leg 2,,Local,6,32105,1.5,0,111173,17884.9,74,4779.6,3208.1,3463.6,3683.5,280.1,6.0,5.0,6.0,3.0,101893.0,91.7,4.3,2.9,3163.6,2.8,-,
Trial005,P34,Coral,rl.avi,hand 2,,Local,7,17196,0.8,0,111174,67133.3,135,1947.4,2111.2,2280.9,2524.5,496.0,4.0,3.0,5.0,3.0,101893.0,91.7,1.8,1.9,2067.2,1.9,-,
Trial005,P35,CornflowerBlue,rl.avi,hand 2,,Local,7,17196,0.8,0,111212,286.0,11,6414.2,4920.7,5604.8,6058.9,121.2,10.0,9.0,13.0,3.0,101893.0,91.6,5.8,4.4,4806.3,4.3,-,
Trial006,P36,Crimson,rl.avi,hand 2,,Local,7,17196,0.8,0,111146,91669.1,138,820.9,360.0,388.0,432.0,360.0,1.0,0.0,1.0,3.0,101893.0,91.7,0.7,0.3,360.0,0.3,-,
Trial005,P37,Cyan,rl.avi,hand 2,,Local,7,17196,0.8,0,111115,18949.2,77,3112.8,1603.6,1715.6,1783.6,251.8,2.0,1.0,2.0,3.0,101893.0,91.7,2.8,1.4,1603.6,1.4,-,
Trial006,P38,DarkBlue,rl.avi,hand 2,,Local,7,17196,0.8,0,110970,61374.3,129,3195.1,3180.9,3512.8,3957.8,124.0,10.0,9.0,10.0,3.0,101893.0,91.8,2.9,2.9,3140.7,2.8,-,
Trial005,P39,DarkCyan,rl.avi,hand 2,,Local,7,17196,0.8,0,111010,67069.7,134,4873.5,3649.8,4085.7,4389.5,675.9,9.0,8.0,13.0,3.0,101893.0,91.8,4.4,3.3,3471.5,3.1,-,
Trial006,P40,DarkGoldenrod,rl.avi,hand 2,,Local,7,17196,0.8,0,111173,29195.0,97,1615.4,2295.4,2483.4,2751.4,228.0,7.0,6.0,7.0,3.0,101893.0,91.7,1.5,2.1,2295.4,2.1,-,
Trial005,P34,Coral,rl.avi,arm 2,,Local,8,14044,0.7,0,111174,18361.3,75,6226.9,6007.3,6279.8,6640.6,667.8,6.0,5.0,6.0,3.0,101893.0,91.7,5.6,5.4,6007.3,5.4,-,
Trial005,P35,CornflowerBlue,rl.avi,arm 2,,Local,8,14044,0.7,0,111212,55541.0,118,1490.9,1352.1,1352.1,1528.0,100.3,4.0,3.0,4.0,3.0,101893.0,91.6,1.3,1.2,1352.1,1.2,-,
Trial006,P36,Crimson,rl.avi,arm 2,,Local,8,14044,0.7,0,111146,9850.0,61,899.7,4035.4,4174.1,4299.3,56.0,4.0,3.0,4.0,3.0,101893.0,91.7,0.8,3.6,4035.4,3.6,-,
Trial005,P37,Cyan,rl.avi,arm 2,,Local,8,14044,0.7,0,111115,-,-,727.6,0.0,63.9,63.9,0.0,0.0,-,0.0,3.0,101893.0,91.7,0.7,0.0,0.0,0.0,-,
Trial006,P38,DarkBlue,rl.avi,arm 2,,Local,8,14044,0.7,0,110970,87630.0,137,1408.6,1652.5,1856.3,1955.5,1568.5,2.0,1.0,2.0,3.0,101893.0,91.8,1.3,1.5,1652.5,1.5,-,
Trial005,P39,DarkCyan,rl.avi,arm 2,,Local,8,14044,0.7,0,111010,63366.4,132,539.7,347.7,347.7,411.9,135.8,2.0,1.0,2.0,3.0,101893.0,91.8,0.5,0.3,347.7,0.3,-,
Trial006,P40,DarkGoldenrod,rl.avi,arm 2,,Local,8,14044,0.7,0,111173,6866.7,48,611.9,788.1,884.0,935.9,116.1,2.0,1.0,2.0,3.0,101893.0,91.7,0.6,0.7,788.1,0.7,-,
Trial005,P34,Coral,rl.avi,hand 1,,Local,9,16891,0.8,0,111174,25548.0,90,2736.7,1515.9,1679.7,1815.8,372.0,4.0,3.0,4.0,3.0,101893.0,91.7,2.5,1.4,1468.0,1.3,-,
Trial005,P35,CornflowerBlue,rl.avi,hand 1,,Local,9,16891,0.8,0,111212,31601.0,102,4069.7,3044.5,3356.2,3592.0,132.0,5.0,4.0,5.0,3.0,101893.0,91.6,3.7,2.7,3003.4,2.7,-,
Trial006,P36,Crimson,rl.avi,hand 1,,Local,9,16891,0.8,0,111146,30439.4,99,7389.5,8214.0,8512.0,8730.0,343.6,7.0,6.0,13.0,3.0,101893.0,91.7,6.6,7.4,8067.2,7.3,-,
Trial005,P37,Cyan,rl.avi,hand 1,,Local,9,16891,0.8,0,111115,107195.0,139,7032.1,603.8,671.8,735.9,305.6,1.0,0.0,2.0,3.0,101893.0,91.7,6.3,0.5,549.6,0.5,-,
Trial006,P38,DarkBlue,rl.avi,hand 1,,Local,9,16891,0.8,0,110970,30719.1,100,6690.0,5983.0,6188.3,6336.2,332.8,4.0,3.0,7.0,3.0,101893.0,91.8,6.0,5.4,5745.0,5.2,-,
Trial005,P39,DarkCyan,rl.avi,hand 1,,Local,9,16891,0.8,0,111010,28235.9,94,7105.5,8257.1,8614.2,9059.3,536.0,9.0,8.0,17.0,3.0,101893.0,91.8,6.4,7.4,8012.1,7.2,-,
Trial006,P40,DarkGoldenrod,rl.avi,hand 1,,Local,9,16891,0.8,0,111173,28451.2,95,3215.3,1995.8,2199.7,2416.2,164.0,5.0,4.0,6.0,3.0,101893.0,91.7,2.9,1.8,1967.8,1.8,-,
Trial005,P34,Coral,rl.avi,arm 1,,Local,10,15076,0.7,0,111174,60922.4,128,223.9,323.9,323.9,359.9,323.9,1.0,0.0,1.0,3.0,101893.0,91.7,0.2,0.3,323.9,0.3,-,
