Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time Total [ms],Entry Time Average [ms],Entry Time STD [ms],Entry Time Maximum [ms],Entry Time Minimum [ms],Sequence,Net Dwell Time Total [ms],Net Dwell Time Average [ms],Net Dwell Time STD [ms],Net Dwell Time Maximum [ms],Net Dwell Time Minimum [ms],Dwell Time Total [ms],Dwell Time Average [ms],Dwell Time STD [ms],Dwell Time Maximum [ms],Dwell Time Minimum [ms],Glance Duration Total [ms],Glance Duration Average [ms],Glance Duration STD [ms],Glance Duration Maximum [ms],Glance Duration Minimum [ms],Diversion Duration Total [ms],Diversion Duration Average [ms],Diversion Duration STD [ms],Diversion Duration Maximum [ms],Diversion Duration Minimum [ms],First Fixation Duration Total [ms],First Fixation Duration Average [ms],First Fixation Duration STD [ms],First Fixation Duration Maximum [ms],First Fixation Duration Minimum [ms],Glances Count Total,Glances Count Average,Glances Count STD,Glances Count Maximum,Glances Count Minimum,Revisits Total,Revisits Average,Revisits STD,Revisits Maximum,Revisits Minimum,Fixation Count Total,Fixation Count Average,Fixation Count STD,Fixation Count Maximum,Fixation Count Minimum,Appearance Count Total,Appearance Count Average,Appearance Count STD,Appearance Count Maximum,Appearance Count Minimum,Visible Time Total [ms],Visible Time Average [ms],Visible Time STD [ms],Visible Time Maximum [ms],Visible Time Minimum [ms],Visible Time Total [%],Visible Time Average [%],Visible Time STD [%],Visible Time Maximum [%],Visible Time Minimum [%],Net Dwell Time Total [%],Net Dwell Time Average [%],Net Dwell Time STD [%],Net Dwell Time Maximum [%],Net Dwell Time Minimum [%],Dwell Time Total [%],Dwell Time Average [%],Dwell Time STD [%],Dwell Time Maximum [%],Dwell Time Minimum [%],Fixation Time Total [ms],Fixation Time Average [ms],Fixation Time STD [ms],Fixation Time Maximum [ms],Fixation Time Minimum [ms],Fixation Time Total [%],Fixation Time Average [%],Fixation Time STD [%],Fixation Time Maximum [%],Fixation Time Minimum [%],Subject Hit Count,Subject Hit Count [%],Revisitors Count,Time to First Mouse Click Total [ms],Time to First Mouse Click Average [ms],Time to First Mouse Click STD [ms],Time to First Mouse Click Maximum [ms],Time to First Mouse Click Minimum [ms],
hh.avi,speaker 2,,Local,1,37128,1.8,0,111114,75476.2,25158.7,14020.2,30715.5,21708.6,15,1723.2,172.3,351.1,1183.5,0.0,1699.5,170.0,399.5,1347.6,0.0,1891.4,189.1,443.9,1495.4,0.0,2123.4,212.3,481.2,1623.4,0.0,751.8,75.2,96.0,399.8,116.0,5.0,0.5,0.9,3.0,0.0,4.0,-,-,2.0,-,5.0,0.5,0.9,3.0,0.0,10.0,1.0,0.0,1.0,1.0,137860.0,13786.0,0.0,13786.0,13786.0,211.6,21.2,0.0,21.2,21.1,2.6,0.3,0.5,1.8,0.0,2.6,0.3,0.6,2.1,0.0,1699.5,170.0,0.0,1347.6,0.0,2.6,0.3,0.6,2.1,0.0,3.0,30.0,1.0,-,-,-,-,-,
hh.avi,speaker 1,,Local,2,39240,1.9,0,111114,169256.9,24179.6,8993.9,28094.6,20572.3,13,10649.2,1064.9,1404.8,4983.4,0.0,11037.7,1103.8,1343.6,4719.4,0.0,11775.7,1177.6,1396.4,4919.1,0.0,12379.4,1237.9,1442.2,5091.1,0.0,4002.7,400.3,472.3,1371.8,67.6,15.0,1.5,1.4,5.0,0.0,14.0,0.5,1.4,4.0,-,19.0,1.9,1.9,6.0,0.0,10.0,1.0,0.0,1.0,1.0,137860.0,13786.0,0.0,13786.0,13786.0,211.6,21.2,0.0,21.2,21.1,16.3,1.6,2.2,7.6,0.0,16.9,1.7,2.1,7.2,0.0,10953.6,1095.4,0.0,4719.4,0.0,16.8,1.7,2.1,7.2,0.0,7.0,70.0,5.0,-,-,-,-,-,
hh.avi,brown toy,,Local,3,16048,0.8,0,111114,98337.3,9833.7,3942.5,16103.4,1691.7,11,19414.1,1941.4,1456.5,5519.4,87.7,18485.7,1848.6,1634.9,6128.4,128.0,19865.1,1986.5,1661.1,6319.5,128.0,21235.3,2123.5,1699.5,6522.2,172.0,2551.9,255.2,165.1,592.0,57.0,28.0,2.8,1.7,6.0,1.0,27.0,1.8,1.7,5.0,0.0,41.0,4.1,2.0,8.0,1.0,10.0,1.0,0.0,1.0,1.0,165900.0,16590.0,0.0,16590.0,16590.0,254.6,25.5,0.0,25.5,25.4,29.8,3.0,2.2,8.5,0.1,28.4,2.8,2.5,9.4,0.2,17680.3,1768.0,0.0,6088.4,128.0,27.1,2.7,2.5,9.3,0.2,10.0,100.0,7.0,-,-,-,-,-,
hh.avi,green toy,,Local,4,7876,0.4,0,111114,2024.8,1012.4,773.2,1173.5,851.3,1,1802.9,180.3,406.2,1368.0,0.0,1656.2,165.6,415.3,1388.4,0.0,1872.5,187.2,454.6,1512.5,0.0,2060.0,206.0,500.1,1664.0,0.0,424.0,42.4,76.3,267.8,156.2,5.0,0.5,1.2,4.0,0.0,4.0,-,-,3.0,-,5.0,0.5,1.2,4.0,0.0,10.0,1.0,0.0,1.0,1.0,165900.0,16590.0,0.0,16590.0,16590.0,254.6,25.5,0.0,25.5,25.4,2.8,0.3,0.6,2.1,0.0,2.5,0.3,0.6,2.1,0.0,1656.2,165.6,0.0,1388.4,0.0,2.5,0.3,0.6,2.1,0.0,2.0,20.0,1.0,-,-,-,-,-,
hh.avi,leg 1,,Local,5,22568,1.1,0,111114,208719.2,20871.9,13708.9,52048.1,3383.4,12,19553.4,1955.3,1043.8,4258.8,648.4,15014.0,1501.4,1252.0,4735.1,248.0,17624.3,1762.4,1302.1,5131.3,510.0,19571.1,1957.1,1427.9,5591.4,554.1,2477.4,247.7,168.2,611.9,60.0,43.0,4.3,2.5,9.0,1.0,42.0,3.3,2.5,8.0,0.0,44.0,4.4,2.5,9.0,1.0,40.0,4.0,0.0,4.0,4.0,585160.0,58516.0,0.0,58516.0,58516.0,898.1,89.8,0.1,89.9,89.7,30.0,3.0,1.6,6.5,1.0,23.0,2.3,1.9,7.3,0.4,14943.5,1494.4,0.0,4735.1,248.0,22.9,2.3,1.9,7.3,0.4,10.0,100.0,8.0,-,-,-,-,-,
hh.avi,leg 2,,Local,6,19490,0.9,0,111114,74471.8,9309.0,10343.0,30894.6,87.9,10,21119.8,2112.0,1718.5,6360.5,113.4,18967.1,1896.7,1904.7,6846.5,0.0,21204.9,2120.5,2011.4,7258.2,0.0,23770.3,2377.0,2153.9,7702.4,0.0,1960.5,196.0,221.4,883.9,80.0,55.0,5.5,3.7,10.0,0.0,54.0,4.5,3.7,9.0,-,59.0,5.9,4.0,11.0,0.0,40.0,4.0,0.0,4.0,4.0,546100.0,54610.0,0.0,54610.0,54610.0,838.2,83.8,0.1,83.9,83.7,32.4,3.2,2.6,9.8,0.2,29.1,2.9,2.9,10.5,0.0,18640.1,1864.0,0.0,6814.5,0.0,28.6,2.9,2.9,10.4,0.0,8.0,80.0,8.0,-,-,-,-,-,
hh.avi,arm 1,,Local,7,4772,0.2,0,111114,160179.6,40044.9,30531.6,56379.4,15777.4,21,12255.5,1225.5,2195.8,7433.6,27.7,10874.3,1087.4,2393.6,8113.8,0.0,11524.9,1152.5,2444.7,8298.9,0.0,12208.0,1220.8,2551.4,8654.7,0.0,1319.7,132.0,196.8,743.9,168.0,15.0,1.5,2.5,8.0,0.0,14.0,0.5,2.5,7.0,-,15.0,1.5,2.5,8.0,0.0,50.0,5.0,0.0,5.0,5.0,526070.0,52607.0,0.0,52607.0,52607.0,807.4,80.7,0.1,80.9,80.6,18.8,1.9,3.4,11.4,0.0,16.7,1.7,3.7,12.4,0.0,10850.3,1085.0,0.0,8089.9,0.0,16.6,1.7,3.7,12.4,0.0,4.0,40.0,3.0,-,-,-,-,-,
hh.avi,hand 1,,Local,8,5887,0.3,0,111114,214311.7,26789.0,20445.3,56792.5,7170.2,16,8362.6,836.3,558.8,1704.7,100.0,10030.5,1003.1,1324.4,4195.5,0.0,10858.3,1085.8,1329.5,4303.3,0.0,11711.2,1171.1,1376.6,4531.1,0.0,4454.6,445.5,796.2,2715.5,71.9,20.0,2.0,1.7,6.0,0.0,19.0,1.0,1.7,5.0,-,20.0,2.0,1.7,6.0,0.0,40.0,4.0,0.0,4.0,4.0,585160.0,58516.0,0.0,58516.0,58516.0,898.1,89.8,0.1,89.9,89.7,12.8,1.3,0.9,2.6,0.2,15.4,1.5,2.0,6.4,0.0,9953.9,995.4,0.0,4167.3,0.0,15.3,1.5,2.0,6.4,0.0,8.0,80.0,6.0,-,-,-,-,-,
hh.avi,hand 2,,Local,9,6087,0.3,0,111114,206470.2,29495.7,23618.1,56446.7,7170.2,19,13401.4,1340.1,832.5,2814.4,260.5,16197.0,1619.7,1597.4,4947.1,0.0,17153.4,1715.3,1631.9,4995.1,0.0,18343.1,1834.3,1701.7,5107.0,0.0,1831.6,183.2,163.9,499.8,80.0,27.0,2.7,2.2,7.0,0.0,26.0,1.7,2.2,6.0,-,35.0,3.5,3.2,10.0,0.0,30.0,3.0,0.0,3.0,3.0,557780.0,55778.0,0.0,55778.0,55778.0,856.1,85.6,0.1,85.7,85.5,20.6,2.1,1.3,4.3,0.4,24.9,2.5,2.4,7.6,0.0,15828.9,1582.9,0.0,4947.1,0.0,24.3,2.4,2.4,7.6,0.0,7.0,70.0,7.0,-,-,-,-,-,
hh.avi,arm 2,,Local,10,5006,0.2,0,111114,108780.0,27195.0,23998.3,57478.4,12450.0,17,7200.8,720.1,843.5,2260.4,0.0,4164.4,416.4,669.6,1752.7,0.0,5218.8,521.9,703.6,1832.6,0.0,5530.1,553.0,750.9,2000.2,0.0,2204.7,220.5,443.4,1615.8,68.0,10.0,1.0,1.5,4.0,0.0,9.0,0.0,1.5,3.0,-,11.0,1.1,1.8,5.0,0.0,70.0,7.0,0.0,7.0,7.0,525410.0,52541.0,0.0,52541.0,52541.0,806.4,80.6,0.1,80.7,80.5,11.0,1.1,1.3,3.5,0.0,6.4,0.6,1.0,2.7,0.0,4124.4,412.4,0.0,1752.7,0.0,6.3,0.6,1.0,2.7,0.0,4.0,40.0,2.0,-,-,-,-,-,
