Stimulus,from \ to [count],Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,
,
,
hh.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,arm 1,hand 1,hand 2,arm 2,torso,head,
hh.avi,speaker 2,1,0,0,0,0,0,0,0,0,0,0,0,
hh.avi,speaker 1,0,7,0,0,4,1,0,0,0,0,0,0,
hh.avi,brown toy,0,0,16,1,1,4,0,2,1,1,1,7,
hh.avi,green toy,0,0,1,0,0,0,0,0,0,0,1,0,
hh.avi,leg 1,0,3,1,0,1,9,0,2,1,2,5,6,
hh.avi,leg 2,1,0,4,0,1,9,1,0,4,0,16,4,
hh.avi,arm 1,0,0,0,0,2,2,1,1,0,0,1,0,
hh.avi,hand 1,0,1,0,0,3,0,0,0,0,1,7,2,
hh.avi,hand 2,0,0,0,0,2,0,1,2,10,0,7,1,
hh.avi,arm 2,0,0,1,0,0,1,0,0,0,1,4,0,
hh.avi,torso,0,0,3,0,12,3,6,3,2,2,29,11,
hh.avi,head,0,1,5,1,5,6,2,3,1,1,6,33,
rh.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,hand 2,arm 2,hand 1,arm 1,head,torso,
rh.avi,speaker 2,14,6,0,0,0,1,0,0,0,1,3,10,
rh.avi,speaker 1,4,65,0,0,2,2,2,0,4,1,4,16,
rh.avi,brown toy,0,0,93,14,11,12,4,1,30,2,13,15,
rh.avi,green toy,0,0,10,9,1,1,0,1,1,1,5,3,
rh.avi,leg 1,0,1,22,0,29,24,3,0,13,1,20,30,
rh.avi,leg 2,2,1,9,1,26,43,2,5,2,1,11,18,
rh.avi,hand 2,0,2,3,0,4,1,9,5,2,0,6,8,
rh.avi,arm 2,1,0,5,0,1,3,5,49,0,0,1,7,
rh.avi,hand 1,0,6,23,2,8,0,4,0,23,2,15,5,
rh.avi,arm 1,0,3,1,0,0,1,1,0,1,6,7,1,
rh.avi,head,4,4,15,1,34,9,7,2,8,4,107,40,
rh.avi,torso,4,10,9,2,29,13,5,11,12,3,59,60,
